comm_node,comm_degree,comm_betweenness,comm_closeness,comm_degree_norm,comm_betweenness_norm,comm_closeness_norm
75,3,0.00034138913449258275,0.34310850439882695,0.02631578947368421,0.0008552345735787114,0.2673392358528952
76,2,0.000965397948156569,0.30310880829015546,0.0,0.0024184768028795733,0.11401442844038978
77,2,0.004563492063492063,0.36908517350157727,0.0,0.011432280042396206,0.36691168701794624
78,2,0.0,0.39,0.0,0.0,0.44708133971291864
79,4,0.009302865160513258,0.3188010899182561,0.05263157894736842,0.023305170302028656,0.17416528688578015
80,2,0.0017837845424052321,0.33620689655172414,0.0,0.0044686665694493,0.24088434251773633
81,2,0.0007017739113229829,0.29177057356608477,0.0,0.0017580562799429566,0.07055328186710248
82,3,0.00483922208060139,0.3305084745762712,0.02631578947368421,0.012123027988887952,0.21904144027248398
83,2,0.0,0.335243553008596,0.0,0.0,0.23719170288315208
84,2,0.0007461780450286196,0.291044776119403,0.0,0.0018692957615723796,0.0677711918874527
85,2,0.001203939675880176,0.29770992366412213,0.0,0.003016062115879219,0.093319697578436
86,2,0.0015724477740782937,0.4006849315068493,0.0,0.003939234046032187,0.48803827751196166
87,4,0.015238071847267252,0.34411764705882353,0.05263157894736842,0.03817381563074474,0.2712074303405572
88,2,0.0,0.36335403726708076,0.0,0.0,0.34494338613331754
89,2,0.0014140314027715527,0.2759433962264151,0.0,0.0035423756106757716,0.009885348018416612
90,2,0.0007472200000935632,0.2772511848341232,0.0,0.0018719060262399406,0.014898297013537619
91,2,0.0051834077489519,0.365625,0.0,0.01298526832861396,0.35364832535885155
92,3,0.0016278846738616852,0.3038961038961039,0.02631578947368421,0.004078112377403934,0.11703225004660406
93,2,0.0022602663407261104,0.3371757925072046,0.0,0.00566232994778341,0.24459826537788
94,3,0.0021385993963619174,0.3046875,0.02631578947368421,0.005357534725063173,0.1200657894736842
95,2,0.0021197353093904817,0.31117021276595747,0.0,0.005310277159584568,0.14491499541891484
96,2,0.001167962518537231,0.2860635696821516,0.0,0.0029259335625364167,0.04867748388530778
97,2,0.0019017912696073609,0.34411764705882353,0.0,0.004764292360727449,0.2712074303405572
98,2,0.0019795657726692202,0.3622291021671827,0.0,0.0049591299734132455,0.3406313419349105
99,2,0.0,0.3762057877813505,0.0,0.0,0.39420606470868785
100,2,0.0010732296651836878,0.2752941176470588,0.0,0.002688612560618377,0.007396566282015099
101,2,0.002198844475486876,0.31451612903225806,0.0,0.0055084583173802834,0.15774039203580797
102,2,0.0,0.35454545454545455,0.0,0.0,0.3111787733797303
103,2,0.007107770900874349,0.3567073170731707,0.0,0.0178061068772431,0.3194655152293149
104,2,7.368110816386678e-05,0.2799043062200957,0.0,0.00018458300149180821,0.025068107415123334
105,2,0.0028212220071324448,0.3342857142857143,0.0,0.0070676139234103685,0.23352016404647985
106,2,0.0,0.34310850439882695,0.0,0.0,0.2673392358528952
107,2,0.001443458627366673,0.35135135135135137,0.0,0.00361609553124565,0.29893529893529897
108,2,0.0017956034534283866,0.29846938775510207,0.0,0.004498274838453163,0.09623083683234067
109,2,0.0010628929831093454,0.28125,0.0,0.002662717513023472,0.030226352594773635
110,2,0.0024181902429162463,0.37987012987012986,0.0,0.006057954668963285,0.4082520350462933
111,2,0.0004715590922487474,0.29770992366412213,0.0,0.0011813312095475725,0.093319697578436
112,2,0.0,0.335243553008596,0.0,0.0,0.23719170288315208
113,2,0.0003855977993909028,0.2932330827067669,0.0,0.0009659843744737963,0.07615929776594589
114,2,0.0,0.3342857142857143,0.0,0.0,0.23352016404647985
115,2,0.0023186743014329213,0.3188010899182561,0.0,0.0058086512636124485,0.17416528688578015
116,2,0.0,0.3667711598746082,0.0,0.0,0.3580417272877264
117,2,0.0016106272510027645,0.3482142857142857,0.0,0.0040348797633907385,0.28691045796308945
