time,strategy,active_I,PAS,affected_buses,remaining_PAS
8,CDP,,0.0077399380804944,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0,,
8,CDP,,0.0,,
8,CDP,,0.0,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0160662351064809,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0077399380804944,,
8,CDP,,0.0077399380804944,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0,,
9,CDP,,0.0,,
9,CDP,,0.0,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0160662351064809,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0077399380804944,,
9,CDP,,0.0160662351064809,,
9,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0,,
10,CDP,,0.0,,
10,CDP,,0.0,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0160662351064809,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0077399380804944,,
10,CDP,,0.0160662351064809,,
10,CDP,,0.0077399380804944,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0110235481752496,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0,,
11,CDP,,0.0,,
11,CDP,,0.0,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0160662351064809,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0077399380804944,,
11,CDP,,0.0160662351064809,,
11,CDP,,0.0077399380804944,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0160662351064809,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0110235481752496,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0,,
12,CDP,,0.0,,
12,CDP,,0.0,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0160662351064809,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0160662351064809,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0,,
12,CDP,,0.0160662351064809,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0077399380804944,,
12,CDP,,0.0160662351064809,,
12,CDP,,0.0077399380804944,,
13,CDP,,0.0077399380804944,,
13,CDP,,0.0077399380804944,,
13,CDP,,0.0110235481752496,,
13,CDP,,0.0077399380804944,,
13,CDP,,0.0077399380804944,,
13,CDP,,0.0077399380804944,,
13,CDP,,0.0077399380804944,,
13,CDP,,0.0077399380804944,,
13,CDP,,0.0160662351064809,,
13,CDP,,0.0077399380804944,,
13,CDP,,0.0077399380804944,,
13,CDP,,0.0077399380804944,,
13,CDP,,0.0077399380804944,,
13,CDP,,0.0077399380804944,,
13,CDP,,0.0077399380804944,,
13,CDP,,0.0077399380804944,,
13,CDP,,0.0110235481752496,,
13,CDP,,0.0077399380804944,,
13,CDP,,0.0077399380804944,,
13,CDP,,0.0077399380804944,,
13,CDP,,0.0,,
13,CDP,,0.0,,
13,CDP,,0.0,,
13,CDP,,0.0160662351064809,,
13,CDP,,0.0160662351064809,,
13,CDP,,0.0077399380804944,,
13,CDP,,0.0077399380804944,,
13,CDP,,0.0,,
13,CDP,,0.0077399380804944,,
13,CDP,,0.0077399380804944,,
13,CDP,,0.0077399380804944,,
13,CDP,,0.0077399380804944,,
13,CDP,,0.0077399380804944,,
13,CDP,,0.0193498452012361,,
13,CDP,,0.0160662351064809,,
13,CDP,,0.0077399380804944,,
13,CDP,,0.0077399380804944,,
