pattern,strategy_DRAD,attack_information_ratio,defense_budget,T_opt_DRAD,n_runs_DRAD,lookahead_runs_DRAD,infection_rate_DRAD,activation_rate_DRAD,detection_rate_DRAD,PAS_at_T_opt_DRAD,PS_at_T_opt_DRAD,EP_max_DRAD,mean_active_infectious_DRAD,mean_exposed_DRAD,mean_detected_DRAD,RT_DRAD,RI_DRAD,RE_DRAD,selected_policy_mode_DRAD,best_before_guard_mode_DRAD,safe_guard_mode_DRAD,strategy_CDP,T_opt_CDP,n_runs_CDP,lookahead_runs_CDP,infection_rate_CDP,activation_rate_CDP,detection_rate_CDP,PAS_at_T_opt_CDP,PS_at_T_opt_CDP,EP_max_CDP,mean_active_infectious_CDP,mean_exposed_CDP,mean_detected_CDP,RT_CDP,RI_CDP,RE_CDP,selected_policy_mode_CDP,best_before_guard_mode_CDP,safe_guard_mode_CDP,EP_improvement_vs_CDP_percent
DCDC,DRAD-CF-MPC,0.25,60,300,50,20,0.01,0.15,1e-05,0.1217166734923371,1.0,0.1217166734923371,13.82,0.52,0.0,2.9231234411789275,0.9500862227121974,0.5489270790672892,CDP,CDP_PDP_90,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.1411641830859334,1.0,0.1411641830859334,15.44,0.54,0.0,3.2303940927577472,0.9358391553220516,0.5367723855712916,CDP,CDP,,13.776518354956869
DCDC,DRAD-CF-MPC,0.25,80,300,50,20,0.01,0.15,1e-05,0.1442349332397819,1.0,0.1442349332397819,16.82,0.82,0.0,3.076983038652859,0.9470614209572632,0.47542503708901,CDP_PDP_90,CDP_PDP_90,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.1536348149899857,1.0,0.1536348149899857,16.42,0.58,0.0,3.2123413358557946,0.9430509961254018,0.4702028805611189,CDP,CDP,,6.118327900323464
DCDC,DRAD-CF-MPC,0.25,100,300,50,20,0.01,0.15,1e-05,0.0905611640685975,0.96,0.0869387175058536,12.1,0.7,0.04,2.177295132891768,0.9869434865417562,0.4547194179657012,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.0982456139042411,0.96,0.0943157893480714,10.8,0.46,0.04,2.2771929807551348,0.9814680808126124,0.4508771930478794,CDP,CDP,,7.821672164471409
DCDC,DRAD-CF-MPC,0.5,0,210,50,20,0.01,0.15,1e-05,0.8207214566662357,0.92,0.7550637401329369,106.32,2.0,0.08,17.414429133324713,0.4665310531669467,0.1792785433337643,NP,NP,zero_budget,CDP,210,50,20,0.01,0.15,1e-05,0.8207214566662357,0.92,0.7550637401329369,106.32,2.0,0.08,17.414429133324713,0.4665310531669467,0.1792785433337643,CDP,CDP,,0.0
DCDC,DRAD-CF-MPC,0.5,20,300,50,20,0.01,0.15,1e-05,0.4843045740120988,0.96,0.4649323910516148,60.4,2.1,0.04,10.008065076625035,0.7044020268921358,0.4297461883232511,CDP,CDP,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.4982573709912554,0.96,0.4783270761516052,61.68,1.94,0.04,10.26758710043735,0.6953327088556839,0.4181188575072873,CDP,CDP,,2.8003192308764335
DCDC,DRAD-CF-MPC,0.5,40,300,50,20,0.01,0.15,1e-05,0.1721698479156792,0.94,0.1618396570407385,24.36,0.94,0.06,3.961321384149685,0.9173648125572054,0.5913072514888005,CDP,CDP_PHYSICS_95,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.1647248140865645,0.96,0.1581358215231019,21.76,0.9,0.04,3.8332668022889114,0.9227795833987148,0.5966251327953112,CDP,CDP,,-2.3421862813493384
DCDC,DRAD-CF-MPC,0.5,60,300,50,20,0.01,0.15,1e-05,0.1071230780001356,1.0,0.1071230780001356,11.96,0.54,0.0,2.6925446324021425,0.959466987489001,0.5580480762499151,CDP,CDP_PHYSICS_90,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.1311915279300625,1.0,0.1311915279300625,14.32,0.66,0.0,3.0728261412949887,0.9437936880730942,0.5430052950437109,CDP,CDP,,18.3460398011175
DCDC,DRAD-CF-MPC,0.5,80,300,50,20,0.01,0.15,1e-05,0.1222748788133909,1.0,0.1222748788133909,15.26,0.98,0.0,2.760758254912829,0.9646663588579636,0.487625067325894,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.1127334764582999,1.0,0.1127334764582999,12.04,0.66,0.0,2.6233620609995194,0.9701296057146362,0.4929258464120555,CDP,CDP,,-8.463681467798724
DCDC,DRAD-CF-MPC,0.5,100,300,50,20,0.01,0.15,1e-05,0.0822081692061015,0.96,0.0789198424378574,11.22,0.66,0.04,2.0687061996793195,0.9914087175077898,0.4588959153969492,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.0982456139042411,0.96,0.0943157893480714,10.8,0.46,0.04,2.2771929807551348,0.9814680808126124,0.4508771930478794,CDP,CDP,,16.323827660745323
DCDC,DRAD-CF-MPC,1.0,0,210,50,20,0.01,0.15,1e-05,0.8476941342239211,0.94,0.7968324861704859,107.98,1.42,0.06,17.953882684478426,0.4489988127544512,0.1523058657760787,NP,NP,zero_budget,CDP,210,50,20,0.01,0.15,1e-05,0.8476941342239211,0.94,0.7968324861704859,107.98,1.42,0.06,17.953882684478426,0.4489988127544512,0.1523058657760787,CDP,CDP,,0.0
