pattern,strategy,attack_information_ratio,defense_budget,T_opt,n_runs,lookahead_runs,infection_rate,activation_rate,detection_rate,PAS_at_T_opt,PS_at_T_opt,EP_max,mean_active_infectious,mean_exposed,mean_detected,RT,RI,RE,selected_policy_mode,best_before_guard_mode,safe_guard_mode
DCAC,DRAD,0.5,40,300,50,20,0.01,0.15,1e-05,0.2857891094813982,1.0,0.2857891094813982,33.7,1.84,0.0,5.9155726830800495,0.8532586804078242,0.5101506360847157,DRAD_SCORE,DRAD_SCORE,
DCAC,DRAD,0.5,60,300,50,20,0.01,0.15,1e-05,0.2019505153760455,0.98,0.1979115050685246,24.4,0.82,0.02,4.19081814294152,0.9139698400923112,0.4987809278899715,DRAD_SCORE,DRAD_SCORE,
DCAC,DRAD,0.5,80,300,50,20,0.01,0.15,1e-05,0.1609306209208992,0.98,0.1577120085024812,18.26,1.04,0.02,3.3174009412609498,0.9492319054122051,0.4661496550439449,DRAD_SCORE,DRAD_SCORE,
DCAC,DRAD,0.5,100,300,50,20,0.01,0.15,1e-05,0.0881037943097524,0.94,0.0828175666511673,9.6,0.52,0.06,2.1453493260267815,0.9850034402516062,0.4559481028451237,DRAD_SCORE,DRAD_SCORE,
DCAC,DRAD,1.0,0,210,50,20,0.01,0.15,1e-05,0.8952924553163655,0.94,0.8415749079973835,107.98,1.42,0.06,18.90584910632731,0.4180599040443623,0.1047075446836344,DRAD_SCORE,DRAD_SCORE,
DCAC,DRAD,1.0,20,300,50,20,0.01,0.15,1e-05,0.4932328610529432,0.94,0.4636388893897665,59.36,2.38,0.06,10.174131215584744,0.6981986403155871,0.4223059491225474,DRAD_SCORE,DRAD_SCORE,
DCAC,DRAD,1.0,40,300,50,20,0.01,0.15,1e-05,0.3116916374550484,0.98,0.3054578047059474,37.88,1.46,0.02,6.361096164226832,0.8347952075690176,0.4916488303892511,DRAD_SCORE,DRAD_SCORE,
DCAC,DRAD,1.0,60,300,50,20,0.01,0.15,1e-05,0.1882423434092467,0.98,0.1844774965410617,22.68,0.7,0.02,3.974229025866098,0.9241211059928136,0.5073485353692208,DRAD_SCORE,DRAD_SCORE,
DCAC,DRAD,1.0,80,270,50,20,0.01,0.15,1e-05,0.1558307056461843,0.98,0.1527140915332606,17.56,0.8,0.02,3.243962161305055,0.9547094684881504,0.4689829413076753,DRAD_SCORE,DRAD_SCORE,
DCAC,DRAD,1.0,100,300,50,20,0.01,0.15,1e-05,0.101324372571205,0.92,0.0932184227655087,10.96,0.56,0.08,2.3172168434256664,0.9825480768329492,0.4493378137143975,DRAD_SCORE,DRAD_SCORE,
DCAC,DRAD-CF-MPC,0.25,0,210,50,20,0.01,0.15,1e-05,0.8398174119327401,0.92,0.772632018978121,101.58,2.06,0.08,17.7963482386548,0.4541186822437189,0.1601825880672599,NP,NP,zero_budget
DCAC,DRAD-CF-MPC,0.25,20,300,50,20,0.01,0.15,1e-05,0.4503652163432072,0.94,0.4233433033626148,54.82,2.1,0.06,9.376793023983655,0.7258455326576125,0.4580289863806606,CDP,CDP,switched_with_counterfactual_gain
DCAC,DRAD-CF-MPC,0.25,40,300,50,20,0.01,0.15,1e-05,0.1617559980246679,0.96,0.1552857581036812,20.58,1.2,0.04,3.782203166024288,0.9238488084454012,0.5987457156966659,CDP,CDP_PHYSICS_95,switched_with_counterfactual_gain
DCAC,DRAD-CF-MPC,0.25,60,300,50,20,0.01,0.15,1e-05,0.1195035026907604,1.0,0.1195035026907604,14.28,0.46,0.0,2.8881553425140156,0.9473516471379057,0.5503103108182748,CDP_PHYSICS_90,CDP_PHYSICS_90,switched_with_counterfactual_gain
DCAC,DRAD-CF-MPC,0.25,80,300,50,20,0.01,0.15,1e-05,0.1362745540291928,1.0,0.1362745540291928,15.42,0.76,0.0,2.962353578020377,0.9543685245730448,0.4798474699837817,RANK_ENSEMBLE,HYBRID,switched_with_counterfactual_gain
DCAC,DRAD-CF-MPC,0.25,100,300,50,20,0.01,0.15,1e-05,0.0940342708769548,0.98,0.0921535854594158,10.86,0.5,0.02,2.2224455214004135,0.9809410375219988,0.4529828645615226,CDP,CDP_PHYSICS_95,switched_with_counterfactual_gain
DCAC,DRAD-CF-MPC,0.5,0,180,50,20,0.01,0.15,1e-05,0.8381115062503707,0.96,0.8045870460003558,96.68,2.8,0.04,17.762230125007413,0.455227520937259,0.1618884937496292,NP,NP,zero_budget
DCAC,DRAD-CF-MPC,0.5,20,300,50,20,0.01,0.15,1e-05,0.4770068483296243,0.92,0.4388463004632544,59.8,1.78,0.08,9.872327378931017,0.7083455485857442,0.4358276263919796,CDP,CDP,switched_with_counterfactual_gain
DCAC,DRAD-CF-MPC,0.5,40,300,50,20,0.01,0.15,1e-05,0.1623586428427497,0.96,0.1558642971290397,21.62,0.94,0.04,3.7925686568952943,0.9234008017359684,0.5983152551123216,CDP,CDP_PHYSICS_95,switched_with_counterfactual_gain
DCAC,DRAD-CF-MPC,0.5,60,300,50,20,0.01,0.15,1e-05,0.1090585254396799,1.0,0.1090585254396799,13.28,0.52,0.0,2.723124701946943,0.9557978705039808,0.5568384216002,CDP_PDP_90,CDP_PDP_90,switched_with_counterfactual_gain
DCAC,DRAD-CF-MPC,0.5,80,300,50,20,0.01,0.15,1e-05,0.0961807665194553,1.0,0.0961807665194553,10.74,0.64,0.0,2.385003037880157,0.9741281695520896,0.5021217963780803,CDP,RANK_ENSEMBLE,switched_with_counterfactual_gain
DCAC,DRAD-CF-MPC,0.5,100,300,50,20,0.01,0.15,1e-05,0.0932845550763646,0.94,0.0876874817717827,10.86,0.52,0.06,2.2126992159927403,0.981742079648798,0.4533577224618177,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain
DCAC,DRAD-CF-MPC,1.0,0,210,50,20,0.01,0.15,1e-05,0.8952924553163655,0.94,0.8415749079973835,107.98,1.42,0.06,18.90584910632731,0.4180599040443623,0.1047075446836344,NP,NP,zero_budget
DCAC,DRAD-CF-MPC,1.0,20,300,50,20,0.01,0.15,1e-05,0.5182074460320226,0.94,0.4871149992701012,62.78,2.4,0.06,10.63865849619562,0.6819322356679308,0.4014937949733146,CDP,CDP,cdp_best
