pattern,strategy,attack_information_ratio,defense_budget,T_opt,n_runs,lookahead_runs,infection_rate,activation_rate,detection_rate,PAS_at_T_opt,PS_at_T_opt,EP_max,mean_active_infectious,mean_exposed,mean_detected,RT,RI,RE,selected_policy_mode,best_before_guard_mode,safe_guard_mode,selected_policy
DCDC,DRAD-CF-MPC,1.0,40,300,50,20,0.01,0.15,1e-05,0.2179029949596212,0.98,0.2135449350604288,26.34,1.5,0.02,4.747931513305486,0.8871776856189897,0.5586407178859849,CDP,CDP_PHYSICS_90,switched_with_counterfactual_gain,CDP
DCDC,DRAD-CF-MPC,1.0,60,300,50,20,0.01,0.15,1e-05,0.1067005228465621,1.0,0.1067005228465621,11.9,0.54,0.0,2.6858682609756817,0.959466987489001,0.5583121732208987,CDP,CDP_PHYSICS_90,switched_with_counterfactual_gain,CDP
DCDC,DRAD-CF-MPC,1.0,80,300,50,20,0.01,0.15,1e-05,0.1091511798376218,1.0,0.1091511798376218,13.26,0.78,0.0,2.571776989661755,0.9665615174691188,0.4949160112013211,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
DCDC,DRAD-CF-MPC,1.0,100,300,50,20,0.01,0.15,1e-05,0.0732056115514257,0.94,0.0688132748583402,9.92,0.64,0.06,1.9516729501685348,0.9922629317261928,0.4633971942242871,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
DDAC,DRAD-CF-MPC,0.25,0,210,50,20,0.01,0.15,1e-05,0.842798993723513,0.92,0.775375074225632,101.58,2.06,0.08,17.855979874470258,0.4521806540797166,0.1572010062764871,NP,NP,zero_budget,NP
DDAC,DRAD-CF-MPC,0.25,20,300,50,20,0.01,0.15,1e-05,0.4400214717285536,0.96,0.4224206128594114,52.06,2.48,0.04,9.184399374151097,0.7331860433764402,0.4666487735595387,CDP,CDP,switched_with_counterfactual_gain,CDP
DDAC,DRAD-CF-MPC,0.25,40,300,50,20,0.01,0.15,1e-05,0.2071559099379094,0.96,0.198869673540393,24.68,0.96,0.04,4.563081650932041,0.8940849537473226,0.5663172071872077,CDP,CDP_PHYSICS_95,switched_with_counterfactual_gain,CDP
DDAC,DRAD-CF-MPC,0.25,60,300,50,20,0.01,0.15,1e-05,0.1262856537128722,1.0,0.1262856537128722,14.6,0.5,0.0,2.9953133286633817,0.945157797480014,0.5460714664294548,CDP_PHYSICS_90,CDP_PHYSICS_90,switched_with_counterfactual_gain,CDP_PHYSICS_90
DDAC,DRAD-CF-MPC,0.25,80,300,50,20,0.01,0.15,1e-05,0.1245153723596031,1.0,0.1245153723596031,13.78,0.8,0.0,2.793021361978285,0.9625494579127918,0.4863803486891093,CDP,RANK_ENSEMBLE,switched_with_counterfactual_gain,CDP
DDAC,DRAD-CF-MPC,0.25,100,300,50,20,0.01,0.15,1e-05,0.0897212508788771,0.96,0.086132400843722,9.56,0.42,0.04,2.166376261425404,0.9822402046331304,0.4551393745605613,CDP,RANK_ENSEMBLE,switched_with_counterfactual_gain,CDP
DDAC,DRAD-CF-MPC,0.5,0,180,50,20,0.01,0.15,1e-05,0.8322843106634334,0.96,0.7989929382368961,96.68,2.8,0.04,17.64568621326867,0.4590151980687682,0.1677156893365664,NP,NP,zero_budget,NP
DDAC,DRAD-CF-MPC,0.5,20,300,50,20,0.01,0.15,1e-05,0.4746713643203406,0.92,0.4366976551747134,60.94,1.92,0.08,9.828887376358336,0.7096425143483046,0.4377738630663828,CDP,HYBRID,switched_with_counterfactual_gain,CDP
DDAC,DRAD-CF-MPC,0.5,40,300,50,20,0.01,0.15,1e-05,0.1883788589696231,0.94,0.1770761274314456,25.16,1.0,0.06,4.240116374277517,0.9075872212682607,0.5797293864502693,CDP,CDP_PHYSICS_95,switched_with_counterfactual_gain,CDP
DDAC,DRAD-CF-MPC,0.5,60,300,50,20,0.01,0.15,1e-05,0.0995452368293457,1.0,0.0995452368293457,11.68,0.46,0.0,2.572814741903662,0.9618896413305542,0.5627842269816589,CDP,CDP_PHYSICS_90,switched_with_counterfactual_gain,CDP
DDAC,DRAD-CF-MPC,0.5,80,300,50,20,0.01,0.15,1e-05,0.1075354338875553,0.98,0.1053847252098042,11.58,0.66,0.02,2.548510247980797,0.9697163554861358,0.495813647840247,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
DDAC,DRAD-CF-MPC,0.5,100,270,50,20,0.01,0.15,1e-05,0.0858395843523102,1.0,0.0858395843523102,8.52,0.44,0.0,2.115914596580033,0.9834892934057606,0.4570802078238449,CDP,PHYSICS,switched_with_counterfactual_gain,CDP
DDAC,DRAD-CF-MPC,1.0,0,210,50,20,0.01,0.15,1e-05,0.8914946060483088,0.94,0.8380049296854102,107.98,1.42,0.06,18.82989212096617,0.4205285060685992,0.1085053939516912,NP,NP,zero_budget,NP
DDAC,DRAD-CF-MPC,1.0,20,300,50,20,0.01,0.15,1e-05,0.4767075089844046,0.92,0.4385709082656522,57.64,2.28,0.08,9.866759667109926,0.7085278416881695,0.4360770758463295,CDP,HYBRID,switched_with_counterfactual_gain,CDP
DDAC,DRAD-CF-MPC,1.0,40,300,50,20,0.01,0.15,1e-05,0.1886152837896505,0.98,0.1848429781138575,22.72,0.98,0.02,4.24418288118199,0.9082210739132464,0.579560511578821,CDP,CDP_PHYSICS_95,switched_with_counterfactual_gain,CDP
DDAC,DRAD-CF-MPC,1.0,60,300,50,20,0.01,0.15,1e-05,0.1079458667975684,1.0,0.1079458667975684,12.42,0.52,0.0,2.705544695401581,0.9588962456291537,0.5575338332515197,CDP_PHYSICS_90,CDP_PHYSICS_90,switched_with_counterfactual_gain,CDP_PHYSICS_90
DDAC,DRAD-CF-MPC,1.0,80,300,50,20,0.01,0.15,1e-05,0.1129433548216291,0.98,0.1106844877251965,11.92,0.76,0.02,2.6263843094314603,0.9674419223103712,0.4928092473213171,CDP,RANK_ENSEMBLE,switched_with_counterfactual_gain,CDP
DDAC,DRAD-CF-MPC,1.0,100,300,50,20,0.01,0.15,1e-05,0.0879631325713975,0.94,0.0826853446171137,9.42,0.46,0.06,2.143520723428168,0.983465021231223,0.4560184337143013,CDP,RANK_ENSEMBLE,switched_with_counterfactual_gain,CDP
DDDC,DRAD-CF-MPC,0.25,0,270,50,20,0.01,0.15,1e-05,0.848082285906266,0.88,0.746312411597514,112.7,0.58,0.12,17.96164571812532,0.4487465141609271,0.1519177140937339,NP,NP,zero_budget,NP
DDDC,DRAD-CF-MPC,0.25,20,300,50,20,0.01,0.15,1e-05,0.4617709013914143,0.94,0.4340646473079295,58.82,2.38,0.06,9.588938765880307,0.7186489140955807,0.448524248840488,CDP,CDP,switched_with_counterfactual_gain,CDP
DDDC,DRAD-CF-MPC,0.25,40,270,50,20,0.01,0.15,1e-05,0.1956038536588436,1.0,0.1956038536588436,21.86,1.16,0.0,4.364386282932111,0.9017295999499602,0.5745686759579689,CDP,CDP_PHYSICS_95,switched_with_counterfactual_gain,CDP
DDDC,DRAD-CF-MPC,0.25,60,300,50,20,0.01,0.15,1e-05,0.1410519195823642,1.0,0.1410519195823642,15.5,0.76,0.0,3.228620329401356,0.939869907546634,0.5368425502610222,CDP_PHYSICS_90,CDP_PHYSICS_90,switched_with_counterfactual_gain,CDP_PHYSICS_90
DDDC,DRAD-CF-MPC,0.25,80,300,50,20,0.01,0.15,1e-05,0.1338160155250246,1.0,0.1338160155250246,15.46,0.58,0.0,2.926950623560356,0.9543289498560068,0.4812133247083197,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
DDDC,DRAD-CF-MPC,0.25,100,240,50,20,0.01,0.15,1e-05,0.0675309561020451,1.0,0.0675309561020451,8.48,0.4,0.0,1.8779024293265871,0.991160348844658,0.4662345219489774,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
DDDC,DRAD-CF-MPC,0.5,0,210,50,20,0.01,0.15,1e-05,0.8314604552681574,0.92,0.7649436188467048,106.32,2.0,0.08,17.62920910536315,0.4595507040756977,0.1685395447318426,NP,NP,zero_budget,NP
DDDC,DRAD-CF-MPC,0.5,20,300,50,20,0.01,0.15,1e-05,0.4616139559699466,0.92,0.4246848394923509,58.74,2.3,0.08,9.586019581041008,0.718322734897061,0.4486550366917111,CDP,CDP_PHYSICS_90,switched_with_counterfactual_gain,CDP
