pattern,strategy,attack_information_ratio,defense_budget,T_opt,n_runs,lookahead_runs,infection_rate,activation_rate,detection_rate,PAS_at_T_opt,PS_at_T_opt,EP_max,mean_active_infectious,mean_exposed,mean_detected,RT,RI,RE,selected_policy_mode,best_before_guard_mode,safe_guard_mode,sensitivity_type,sensitivity_value
DCDC,DRAD-CF-MPC,0.25,100,300,30,10,0.01,0.15,5e-06,0.0752619153241899,1.0,0.0752619153241899,10.266666666666667,0.5,0.0,1.9784048992144705,0.989637785158196,0.462369042337905,HYBRID,HYBRID,switched_with_counterfactual_gain,detection_rate,5e-06
DCDC,DRAD-CF-MPC,0.5,20,300,30,10,0.01,0.15,5e-06,0.5327206598418001,0.9666666666666668,0.5149633045137401,67.03333333333333,2.466666666666667,0.0333333333333333,10.908604273057485,0.6730649044361634,0.3893994501318333,CDP,CDP_PDP_90,switched_with_counterfactual_gain,detection_rate,5e-06
DCDC,DRAD-CF-MPC,0.5,60,270,30,10,0.01,0.15,5e-06,0.1232287124253269,0.9666666666666668,0.119121088677816,14.166666666666666,0.6333333333333333,0.0333333333333333,2.947013656320166,0.952235557149907,0.5479820547341706,CDP_PHYSICS_90,CDP_PHYSICS_90,switched_with_counterfactual_gain,detection_rate,5e-06
DCDC,DRAD-CF-MPC,0.5,100,300,30,10,0.01,0.15,5e-06,0.0704780996054929,1.0,0.0704780996054929,9.966666666666669,0.5666666666666667,0.0,1.9162152948714088,0.9952658441624253,0.4647609501972535,HYBRID,HYBRID,switched_with_counterfactual_gain,detection_rate,5e-06
DCDC,DRAD-CF-MPC,1.0,20,300,30,10,0.01,0.15,5e-06,0.5383833582574363,0.9,0.4845450224316927,68.3,2.2,0.1,11.013930463588316,0.6679142890725778,0.3846805347854697,CDP,CDP,fallback_to_cdp,detection_rate,5e-06
DCDC,DRAD-CF-MPC,1.0,60,270,30,10,0.01,0.15,5e-06,0.1232287124253269,0.9666666666666668,0.119121088677816,14.166666666666666,0.6333333333333333,0.0333333333333333,2.947013656320166,0.952235557149907,0.5479820547341706,CDP_PHYSICS_90,CDP_PHYSICS_90,switched_with_counterfactual_gain,detection_rate,5e-06
DCDC,DRAD-CF-MPC,1.0,100,240,30,10,0.01,0.15,5e-06,0.0646475944168599,1.0,0.0646475944168599,7.8,0.1,0.0,1.840418727419179,0.9891597405175396,0.4676762027915701,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,detection_rate,5e-06
DDAC,CDP,0.25,20,300,30,10,0.01,0.15,5e-06,0.4630170967265713,0.9,0.4167153870539142,59.1,2.8,0.1,9.612117999114224,0.7170184246744495,0.4474857527278574,CDP,CDP,,detection_rate,5e-06
DDAC,CDP,0.25,60,300,30,10,0.01,0.15,5e-06,0.1617193408289412,1.0,0.1617193408289412,17.7,0.6,0.0,3.555165585097271,0.922956878141856,0.5239254119819118,CDP,CDP,,detection_rate,5e-06
DDAC,CDP,0.25,100,240,30,10,0.01,0.15,5e-06,0.0754827765766996,1.0,0.0754827765766996,7.4,0.2333333333333333,0.0,1.9812760954970956,0.986598496451271,0.4622586117116501,CDP,CDP,,detection_rate,5e-06
DDAC,CDP,0.5,20,300,30,10,0.01,0.15,5e-06,0.5259435225142242,0.9666666666666668,0.50841207176375,63.833333333333336,1.7,0.0333333333333333,10.78254951876457,0.6774700436990878,0.3950470645714797,CDP,CDP,,detection_rate,5e-06
DDAC,CDP,0.5,60,300,30,10,0.01,0.15,5e-06,0.1330966131813301,1.0,0.1330966131813301,14.866666666666667,0.7,0.0,3.1029264882650174,0.9409844294150296,0.5418146167616685,CDP,CDP,,detection_rate,5e-06
DDAC,CDP,0.5,100,240,30,10,0.01,0.15,5e-06,0.0754827765766996,1.0,0.0754827765766996,7.4,0.2333333333333333,0.0,1.9812760954970956,0.986598496451271,0.4622586117116501,CDP,CDP,,detection_rate,5e-06
DDAC,CDP,1.0,20,300,30,10,0.01,0.15,5e-06,0.561245567036928,0.9333333333333332,0.5238291959011327,67.43333333333334,2.1,0.0666666666666666,11.439167546886864,0.6538365856393842,0.3656286941358932,CDP,CDP,,detection_rate,5e-06
DDAC,CDP,1.0,60,300,30,10,0.01,0.15,5e-06,0.1330966131813301,1.0,0.1330966131813301,14.866666666666667,0.7,0.0,3.1029264882650174,0.9409844294150296,0.5418146167616685,CDP,CDP,,detection_rate,5e-06
DDAC,CDP,1.0,100,240,30,10,0.01,0.15,5e-06,0.0754827765766996,1.0,0.0754827765766996,7.4,0.2333333333333333,0.0,1.9812760954970956,0.986598496451271,0.4622586117116501,CDP,CDP,,detection_rate,5e-06
DDAC,DRAD-CF-MPC,0.25,20,300,30,10,0.01,0.15,5e-06,0.4813660341400575,0.9333333333333332,0.449274965197387,58.166666666666664,2.566666666666667,0.0666666666666666,9.953408235005066,0.7057787444756293,0.4321949715499523,CDP,CDP,switched_with_counterfactual_gain,detection_rate,5e-06
DDAC,DRAD-CF-MPC,0.25,60,300,30,10,0.01,0.15,5e-06,0.1809735894046375,1.0,0.1809735894046375,20.6,0.5333333333333333,0.0,3.859382712593274,0.9147368497434666,0.5118915066221015,CDP_PHYSICS_90,CDP_PHYSICS_90,switched_with_counterfactual_gain,detection_rate,5e-06
DDAC,DRAD-CF-MPC,0.25,100,300,30,10,0.01,0.15,5e-06,0.0697407859678404,1.0,0.0697407859678404,7.3,0.3666666666666666,0.0,1.9066302175819263,0.9887780456509936,0.4651296070160798,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,detection_rate,5e-06
DDAC,DRAD-CF-MPC,0.5,20,300,30,10,0.01,0.15,5e-06,0.5343138925869944,0.9666666666666668,0.5165034295007612,63.46666666666667,2.2333333333333334,0.0333333333333333,10.938238402118094,0.6717886053526663,0.3880717561775048,HYBRID,HYBRID,switched_with_counterfactual_gain,detection_rate,5e-06
DDAC,DRAD-CF-MPC,0.5,60,300,30,10,0.01,0.15,5e-06,0.1331343164296778,1.0,0.1331343164296778,14.8,0.7333333333333333,0.0,3.10352219958891,0.9439107458653846,0.5417910522314513,CDP,CDP_PHYSICS_90,switched_with_counterfactual_gain,detection_rate,5e-06
DDAC,DRAD-CF-MPC,0.5,100,240,30,10,0.01,0.15,5e-06,0.0691458815750878,1.0,0.0691458815750878,6.566666666666666,0.1666666666666666,0.0,1.8988964604761425,0.9869608687987096,0.465427059212456,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,detection_rate,5e-06
DDAC,DRAD-CF-MPC,1.0,20,270,30,10,0.01,0.15,5e-06,0.4165305809893237,0.9666666666666668,0.4026462282896796,49.53333333333333,2.2666666666666666,0.0333333333333333,8.74746880640142,0.7485884556902728,0.4862245158422303,CDP,HYBRID,switched_with_counterfactual_gain,detection_rate,5e-06
DDAC,DRAD-CF-MPC,1.0,60,300,30,10,0.01,0.15,5e-06,0.1197916372727438,1.0,0.1197916372727438,13.6,0.5,0.0,2.8927078689093526,0.9496265446030764,0.5501302267045352,CDP,CDP_PHYSICS_90,switched_with_counterfactual_gain,detection_rate,5e-06
DDAC,DRAD-CF-MPC,1.0,100,300,30,10,0.01,0.15,5e-06,0.0789022176831665,1.0,0.0789022176831665,7.966666666666667,0.5,0.0,2.0257288298811655,0.9871979345626148,0.4605488911584167,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,detection_rate,5e-06
DDDC,CDP,0.25,20,300,30,10,0.01,0.15,5e-06,0.4464016920253532,0.9,0.4017615228228178,59.1,2.8,0.1,9.303071471671569,0.7275379371068579,0.4613319233122058,CDP,CDP,,detection_rate,5e-06
DDDC,CDP,0.25,60,300,30,10,0.01,0.15,5e-06,0.1667934075096925,1.0,0.1667934075096925,17.7,0.6,0.0,3.6353358386531425,0.9196683938844368,0.5207541203064422,CDP,CDP,,detection_rate,5e-06
DDDC,CDP,0.25,100,240,30,10,0.01,0.15,5e-06,0.0768624398324068,1.0,0.0768624398324068,7.4,0.2333333333333333,0.0,1.9992117178212891,0.990371939929536,0.4615687800837965,CDP,CDP,,detection_rate,5e-06
DDDC,CDP,0.5,20,300,30,10,0.01,0.15,5e-06,0.5221042946261705,0.9666666666666668,0.5047008181386314,63.833333333333336,1.7,0.0333333333333333,10.711139880046774,0.6799655418263224,0.3982464211448579,CDP,CDP,,detection_rate,5e-06
DDDC,CDP,0.5,60,300,30,10,0.01,0.15,5e-06,0.1425446451745744,1.0,0.1425446451745744,14.866666666666667,0.7,0.0,3.2522053937582767,0.936971101917511,0.5359095967658909,CDP,CDP,,detection_rate,5e-06
DDDC,CDP,0.5,100,240,30,10,0.01,0.15,5e-06,0.0768624398324068,1.0,0.0768624398324068,7.4,0.2333333333333333,0.0,1.9992117178212891,0.990371939929536,0.4615687800837965,CDP,CDP,,detection_rate,5e-06
DDDC,CDP,1.0,20,300,30,10,0.01,0.15,5e-06,0.5464291101296589,0.9333333333333332,0.5100005027876816,67.43333333333334,2.1,0.0666666666666666,11.16358144841166,0.6632557705627128,0.3779757415586175,CDP,CDP,,detection_rate,5e-06
DDDC,CDP,1.0,60,300,30,10,0.01,0.15,5e-06,0.1425446451745744,1.0,0.1425446451745744,14.866666666666667,0.7,0.0,3.2522053937582767,0.936971101917511,0.5359095967658909,CDP,CDP,,detection_rate,5e-06
DDDC,CDP,1.0,100,240,30,10,0.01,0.15,5e-06,0.0768624398324068,1.0,0.0768624398324068,7.4,0.2333333333333333,0.0,1.9992117178212891,0.990371939929536,0.4615687800837965,CDP,CDP,,detection_rate,5e-06
DDDC,DRAD-CF-MPC,0.25,20,300,30,10,0.01,0.15,5e-06,0.4882761769538267,0.9,0.439448559258444,63.9,2.8,0.1,10.081936891341178,0.7006204849800127,0.4264365192051444,CDP,CDP,switched_with_counterfactual_gain,detection_rate,5e-06
DDDC,DRAD-CF-MPC,0.25,60,300,30,10,0.01,0.15,5e-06,0.1615382149245717,1.0,0.1615382149245717,18.066666666666663,1.0,0.0,3.552303795808234,0.926878489409218,0.5240386156721427,CDP_PDP_90,CDP_PDP_90,switched_with_counterfactual_gain,detection_rate,5e-06
DDDC,DRAD-CF-MPC,0.25,100,240,30,10,0.01,0.15,5e-06,0.0669773628031558,1.0,0.0669773628031558,8.133333333333333,0.4,0.0,1.8707057164410257,0.9909025800031848,0.4665113185984221,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,detection_rate,5e-06
DDDC,DRAD-CF-MPC,0.5,20,300,30,10,0.01,0.15,5e-06,0.4200608225946022,0.9,0.3780547403351419,55.56666666666667,2.033333333333333,0.1,8.813131300259602,0.7446165630827654,0.4832826478378315,CDP,CDP_PHYSICS_95,switched_with_counterfactual_gain,detection_rate,5e-06
DDDC,DRAD-CF-MPC,0.5,60,300,30,10,0.01,0.15,5e-06,0.1771103814142946,1.0,0.1771103814142946,19.666666666666668,0.9666666666666668,0.0,3.798344026345856,0.9196305806622328,0.5143060116160659,CDP,CDP_PDP_90,switched_with_counterfactual_gain,detection_rate,5e-06
DDDC,DRAD-CF-MPC,0.5,100,240,30,10,0.01,0.15,5e-06,0.0718365277817335,1.0,0.0718365277817335,8.866666666666667,0.6,0.0,1.9338748611625365,0.9907249312081358,0.4640817361091331,CDP,RANK_ENSEMBLE,switched_with_counterfactual_gain,detection_rate,5e-06
DDDC,DRAD-CF-MPC,1.0,20,300,30,10,0.01,0.15,5e-06,0.5747002725325344,0.9666666666666668,0.5555435967814499,70.66666666666667,2.3666666666666667,0.0333333333333333,11.689425069105145,0.6457781561871858,0.3544164395562213,CDP,CDP_PHYSICS_90,switched_with_counterfactual_gain,detection_rate,5e-06
DDDC,DRAD-CF-MPC,1.0,60,300,30,10,0.01,0.15,5e-06,0.1691025339711057,1.0,0.1691025339711057,18.833333333333332,0.9,0.0,3.671820036743471,0.9244200549451635,0.5193109162680589,CDP,CDP_PDP_90,switched_with_counterfactual_gain,detection_rate,5e-06
DDDC,DRAD-CF-MPC,1.0,100,240,30,10,0.01,0.15,5e-06,0.080715154640598,1.0,0.080715154640598,10.533333333333331,0.5,0.0,2.0492970103277752,0.9894722417694896,0.4596424226797009,CDP,RANK_ENSEMBLE,switched_with_counterfactual_gain,detection_rate,5e-06
RC,CDP,0.25,20,300,30,10,0.01,0.15,5e-06,0.461973057100983,0.9,0.4157757513908847,59.1,2.8,0.1,9.592698862078286,0.7176590819842771,0.4483557857491808,CDP,CDP,,detection_rate,5e-06
