mode,pattern,attack_information_ratio,defense_budget,T_opt,n_runs,lookahead_runs,infection_rate,activation_rate,detection_rate,PAS_at_T_opt,PS_at_T_opt,EP_max,mean_active_infectious,mean_exposed,mean_detected,RT,RI,RE,selected_policy_mode,safe_guard_mode,best_before_guard_mode
NO_PHYSICS,DCDC,0.25,20,270,30,10,0.01,0.15,1e-05,0.4304389852947624,1.0,0.4304389852947624,51.766666666666666,2.3666666666666667,0.0,9.006165126482582,0.7402146595584044,0.4746341789210314,CDP,cdp_best,CDP
NO_PHYSICS,DCDC,0.25,40,300,30,10,0.01,0.15,1e-05,0.1847688654889318,1.0,0.1847688654889318,21.866666666666667,1.1333333333333333,0.0,4.178024486409629,0.9088735355185418,0.5823079532221916,CDP,cdp_best,CDP
NO_PHYSICS,DCDC,0.25,60,270,30,10,0.01,0.15,1e-05,0.1627684644460117,1.0,0.1627684644460117,17.8,0.9333333333333332,0.0,3.571741738246985,0.9304262805322402,0.5232697097212425,CDP,cdp_best,CDP
NO_PHYSICS,DCDC,0.25,80,270,30,10,0.01,0.15,1e-05,0.1284174066181888,1.0,0.1284174066181888,15.033333333333331,0.9333333333333332,0.0,2.8492106553019196,0.9644797347730318,0.4842125518787839,CDP,cdp_best,CDP
NO_PHYSICS,DCDC,0.25,100,270,30,10,0.01,0.15,1e-05,0.0817840568809665,1.0,0.0817840568809665,11.333333333333334,0.4,0.0,2.0631927394525653,0.9872099370276994,0.4591079715595168,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
NO_PHYSICS,DCDC,0.5,0,300,30,10,0.01,0.15,1e-05,0.8802964886169359,0.9,0.7922668397552423,115.53333333333332,0.3666666666666666,0.1,18.605929772338715,0.4278072823989916,0.1197035113830641,NP,zero_budget,NP
NO_PHYSICS,DCDC,0.5,20,300,30,10,0.01,0.15,1e-05,0.4717192617096701,0.9333333333333332,0.4402713109290255,60.666666666666664,1.9666666666666663,0.0666666666666666,9.773978267799864,0.711971264702587,0.440233948575275,CDP,cdp_best,CDP
NO_PHYSICS,DCDC,0.5,40,300,30,10,0.01,0.15,1e-05,0.2209396842269038,0.9666666666666668,0.213575028086007,25.766666666666666,1.2,0.0333333333333333,4.800162568702746,0.8857335337050657,0.5564716541236402,CDP,cdp_best,CDP
NO_PHYSICS,DCDC,0.5,60,270,30,10,0.01,0.15,1e-05,0.1184777385228069,0.9666666666666668,0.1145284805720466,14.2,0.7,0.0333333333333333,2.8719482686603497,0.9552477017487496,0.5509514134232455,CDP,cdp_best,CDP
NO_PHYSICS,DCDC,0.5,80,270,30,10,0.01,0.15,1e-05,0.1315629409582763,1.0,0.1315629409582763,14.3,0.7,0.0,2.894506349799179,0.95953422227862,0.4824650328009576,CDP,cdp_best,CDP
